,App ID,VM,Host Environment,OS,# of CPUs,PeakCPU%,Memory,MemUsed,Disk (GB),Environment,Target Region,DB Instance Count,RDS,cores_calc,calc_family,mem_cpu_ratio,AWS_Region,AWS_OS,ec2_instance_type,one_hr_rate,one_yr_rate,three_yr_rate,AWS_DB,ebs_month_rate
1120,7187,ODC005VAMD03,Development,Microsoft Windows Server 2012 (64-bit),2,1,8,8,1240.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,187.23999999999998
1121,7048,ODC005VAMD04,Development,Microsoft Windows Server 2012 (64-bit),2,1,8,8,248.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,37.448
1122,7187,ODC005VAMD04,Development,Microsoft Windows Server 2012 (64-bit),2,1,8,8,248.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,37.448
1123,7048,ODC005VAMD05,Development,Microsoft Windows Server 2012 (64-bit),2,1,8,8,406.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,61.306
1124,7187,ODC005VAMD05,Development,Microsoft Windows Server 2012 (64-bit),2,1,8,8,406.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,61.306
1125,8135,ODC005WLAT01,Test,Red Hat Enterprise Linux 6 (64-bit),2,1,32,32,86.0,,,,False,3.0,r,10.666666666666666,us-east-1,RHEL,x1e.xlarge,0.894,4728.0,7709.0,,12.985999999999999
1126,5197,ODC006OPMT01,Test,Red Hat Enterprise Linux 6 (64-bit),8,1,64,64,546.0,,,,False,9.0,r,7.111111111111111,us-east-1,RHEL,r4.4xlarge,1.194,6619.0,13930.0,,82.446
1127,522,ODC006SASP01,Production,Microsoft Windows Server 2012 (64-bit),2,1,16,16,1010.0,,,,False,3.0,r,5.333333333333333,us-east-1,Windows,x1e.xlarge,1.018,5814.0,10968.0,,152.51
1128,11055,ODC006SASP01,Production,Microsoft Windows Server 2012 (64-bit),2,1,16,16,1010.0,,,,False,3.0,r,5.333333333333333,us-east-1,Windows,x1e.xlarge,1.018,5814.0,10968.0,,152.51
1129,522,ODC006SASP02,Production,Microsoft Windows Server 2012 (64-bit),4,1,64,64,405.0,,,,False,5.0,r,12.8,us-east-1,Windows,x1e.2xlarge,2.036,11628.0,21936.0,,61.155
1130,11055,ODC006SASP02,Production,Microsoft Windows Server 2012 (64-bit),4,1,64,64,405.0,,,,False,5.0,r,12.8,us-east-1,Windows,x1e.2xlarge,2.036,11628.0,21936.0,,61.155
1131,7081,ODC006UNIP01,Production,Microsoft Windows Server 2008 R2 (64-bit),4,1,12,12,200.04,,,,False,5.0,c,2.4,us-east-1,Windows,c5.2xlarge,0.708,4975.0,12930.0,,30.206039999999998
1132,6891,ODC007OSIS01,Staging,Microsoft Windows Server 2012 (64-bit),4,1,12,12,160.0,,,,False,5.0,c,2.4,us-east-1,Windows,c5.2xlarge,0.708,4975.0,12930.0,,24.16
1133,7157,ODCVREP01,Production,SUSE Linux Enterprise 11 (64-bit),4,1,4,4,12.0,,,,False,5.0,c,0.8,us-east-1,Linux,c5.2xlarge,0.34,1751.0,3259.0,,1.8119999999999998
1134,496,odh001amep01,Production,Microsoft Windows Server 2003 (32-bit),2,1,2,2,28.01,,,,False,3.0,c,0.6666666666666666,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,4.22951
1135,496,odh001amep02,Production,Microsoft Windows Server 2003 (32-bit),2,1,2,2,28.01,,,,False,3.0,c,0.6666666666666666,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,4.22951
1136,5229,ODH001DATP02,Production,SUSE Linux Enterprise 11 (32-bit),2,1,4,4,39.0,,,,False,3.0,c,1.3333333333333333,us-east-1,Linux,c5.xlarge,0.17,876.0,1629.0,,5.889
1137,5995,ODH001NAVP01,Production,Microsoft Windows Server 2003 (32-bit),2,1,2,2,328.0,,,,False,3.0,c,0.6666666666666666,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,49.528
1138,5995,ODH001NAVP02,Production,Microsoft Windows Server 2003 (32-bit),2,1,2,2,171.0,,,,False,3.0,c,0.6666666666666666,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,25.820999999999998
1139,5896,ODH001PDMP01,Production,Microsoft Windows Server 2008 R2 (64-bit),2,1,4,4,136.0,,,,False,3.0,c,1.3333333333333333,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,20.535999999999998
1140,7253,odh001vpnp01,Production,Microsoft Windows Server 2008 R2 (64-bit),2,1,8,8,1910.0,,,,False,3.0,c,2.6666666666666665,us-east-1,Windows,c5.xlarge,0.354,2487.0,6465.0,,288.40999999999997
1141,688,ODH004BOMD01,Development,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,119.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,17.969
1142,5896,ODH004BOMD01,Development,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,119.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,17.969
1143,329,ODH004COND01,Development,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,559.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,84.40899999999999
1144,6813,ODH004COND01,Development,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,559.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,84.40899999999999
1145,6904,ODH004COND01,Development,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,559.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,84.40899999999999
1146,329,ODH004COND02,Development,Microsoft Windows Server 2008 R2 (64-bit),1,1,4,4,259.0,,,,False,2.0,c,2.0,us-east-1,Windows,c5.large,0.177,1244.0,3232.0,,39.109
